Z/I:A/I:An[20]/D
#E_low_hi,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,,E_low,E_hi,,
#E_low_hi_val,,0.01,0.079,,,0.079,0.501,,,0.501,3.162,,,3.162,12.589,,,12.589,25.044,,
#Z,A,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3,A0,A1,A2,A3
43,99,1.41786E+00,-4.89836E-01,1.15708E-03,0.00000E+00,1.57618E+00,-3.14522E-01,6.75550E-02,8.61703E-03,1.57860E+00,-3.08921E-01,6.25474E-02,-4.23142E-03,1.59075E+00,-3.46042E-01,1.05573E-01,-2.17600E-02,2.41476E+00,-1.31006E+00,4.83815E-01,-7.15445E-02
44,99,1.46602E+00,-4.90574E-01,1.06926E-03,0.00000E+00,1.61837E+00,-3.20448E-01,6.60913E-02,8.51666E-03,1.62108E+00,-3.13930E-01,6.19976E-02,-4.05091E-03,1.64049E+00,-3.65177E-01,1.14006E-01,-2.34708E-02,2.46936E+00,-1.32929E+00,4.89364E-01,-7.23969E-02
45,103,1.51299E+00,-4.91221E-01,9.92961E-04,0.00000E+00,1.65942E+00,-3.26348E-01,6.45612E-02,8.39895E-03,1.66243E+00,-3.18944E-01,6.13442E-02,-3.90371E-03,1.68303E+00,-3.72949E-01,1.15581E-01,-2.39648E-02,2.54117E+00,-1.37123E+00,5.04299E-01,-7.46417E-02
46,106,1.56042E+00,-4.91824E-01,9.22073E-04,0.00000E+00,1.70108E+00,-3.32168E-01,6.30003E-02,8.27006E-03,1.70435E+00,-3.23910E-01,6.06653E-02,-3.74438E-03,1.72593E+00,-3.80239E-01,1.16855E-01,-2.43916E-02,2.60906E+00,-1.40758E+00,5.16892E-01,-7.65445E-02
47,109,1.60797E+00,-4.92367E-01,8.59489E-04,0.00000E+00,1.74300E+00,-3.37894E-01,6.14142E-02,8.13132E-03,1.74654E+00,-3.28801E-01,5.99553E-02,-3.59819E-03,1.76905E+00,-3.87326E-01,1.17979E-01,-2.47957E-02,2.67639E+00,-1.44310E+00,5.29193E-01,-7.84209E-02
48,111,1.65601E+00,-4.92859E-01,8.02386E-04,0.00000E+00,1.78553E+00,-3.43557E-01,5.97902E-02,7.98067E-03,1.78933E+00,-3.33631E-01,5.91816E-02,-3.45825E-03,1.81279E+00,-3.94383E-01,1.19015E-01,-2.51634E-02,2.74001E+00,-1.47325E+00,5.39224E-01,-7.99622E-02
49,113,1.69500E+00,-4.98670E-01,0.00000E+00,0.00000E+00,1.82836E+00,-3.49091E-01,5.81859E-02,7.82944E-03,1.83238E+00,-3.38450E-01,5.83686E-02,-3.30889E-03,1.85670E+00,-4.01245E-01,1.19895E-01,-2.55093E-02,2.80356E+00,-1.50307E+00,5.49085E-01,-8.14843E-02
50,117,1.74315E+00,-4.98759E-01,0.00000E+00,0.00000E+00,1.87071E+00,-3.54589E-01,5.65229E-02,7.66105E-03,1.87494E+00,-3.43232E-01,5.74999E-02,-3.18653E-03,1.90044E+00,-4.08686E-01,1.21119E-01,-2.59729E-02,2.87809E+00,-1.54636E+00,5.64289E-01,-8.37750E-02
51,125,1.78991E+00,-4.98833E-01,0.00000E+00,0.00000E+00,1.91174E+00,-3.60005E-01,5.48725E-02,7.49314E-03,1.91615E+00,-3.48100E-01,5.64757E-02,-3.09349E-03,1.94342E+00,-4.17469E-01,1.23049E-01,-2.66508E-02,2.97801E+00,-1.62134E+00,5.91989E-01,-8.78126E-02
52,124,1.84021E+00,-4.98911E-01,0.00000E+00,0.00000E+00,1.95656E+00,-3.65293E-01,5.32123E-02,7.31502E-03,1.96116E+00,-3.52736E-01,5.55934E-02,-2.94160E-03,1.99126E+00,-4.26102E-01,1.23918E-01,-2.68023E-02,3.02696E+00,-1.63114E+00,5.93655E-01,-8.81716E-02
53,127,1.88905E+00,-4.98996E-01,0.00000E+00,0.00000E+00,2.00009E+00,-3.70487E-01,5.15758E-02,7.14093E-03,2.00483E+00,-3.57425E-01,5.45783E-02,-2.83078E-03,2.03601E+00,-4.33183E-01,1.24731E-01,-2.71770E-02,3.19747E+00,-1.77239E+00,6.42167E-01,-9.42039E-02
54,131,1.93764E+00,-4.99081E-01,0.00000E+00,0.00000E+00,2.04349E+00,-3.75634E-01,4.99224E-02,6.95969E-03,2.04836E+00,-3.62137E-01,5.34862E-02,-2.72587E-03,2.07838E+00,-4.37776E-01,1.24971E-01,-2.76199E-02,3.27803E+00,-1.82123E+00,6.59174E-01,-9.67147E-02
55,135,1.98637E+00,-4.99153E-01,0.00000E+00,0.00000E+00,2.08717E+00,-3.80663E-01,4.82710E-02,6.77154E-03,2.09212E+00,-3.66795E-01,5.23623E-02,-2.63785E-03,2.12340E+00,-4.45188E-01,1.25883E-01,-2.80443E-02,3.35999E+00,-1.87131E+00,6.76597E-01,-9.92802E-02
56,135,2.03692E+00,-4.99234E-01,0.00000E+00,0.00000E+00,2.13293E+00,-3.85298E-01,4.68424E-02,6.62546E-03,2.13785E+00,-3.71366E-01,5.12775E-02,-2.51765E-03,2.16972E+00,-4.51136E-01,1.25898E-01,-2.82237E-02,3.41864E+00,-1.89146E+00,6.82087E-01,-1.00166E-01
57,139,2.08598E+00,-4.99311E-01,0.00000E+00,0.00000E+00,2.17714E+00,-3.90270E-01,4.51561E-02,6.42621E-03,2.18216E+00,-3.75971E-01,5.01013E-02,-2.44503E-03,2.21520E+00,-4.58297E-01,1.26607E-01,-2.86269E-02,3.50276E+00,-1.94320E+00,7.00019E-01,-1.02799E-01
58,140,2.13648E+00,-4.99394E-01,0.00000E+00,0.00000E+00,2.22288E+00,-3.95240E-01,4.34459E-02,6.22179E-03,2.22803E+00,-3.80509E-01,4.89456E-02,-2.34923E-03,2.26178E+00,-4.64446E-01,1.26687E-01,-2.88565E-02,3.56711E+00,-1.96984E+00,7.08019E-01,-1.04054E-01
59,141,2.18723E+00,-4.99479E-01,0.00000E+00,0.00000E+00,2.26900E+00,-4.00064E-01,4.17797E-02,6.02000E-03,2.27423E+00,-3.85069E-01,4.76976E-02,-2.26865E-03,2.30898E+00,-4.71138E-01,1.26920E-01,-2.91044E-02,3.63345E+00,-1.99832E+00,7.16560E-01,-1.05364E-01
60,142,2.23819E+00,-4.99570E-01,0.00000E+00,0.00000E+00,2.31533E+00,-4.05118E-01,3.99286E-02,5.77942E-03,2.32074E+00,-3.89585E-01,4.64506E-02,-2.19583E-03,2.35624E+00,-4.77293E-01,1.26852E-01,-2.93096E-02,3.69819E+00,-2.02486E+00,7.24461E-01,-1.06613E-01
61,147,2.28754E+00,-4.99648E-01,0.00000E+00,0.00000E+00,2.36014E+00,-4.09895E-01,3.82447E-02,5.57016E-03,2.36560E+00,-3.94186E-01,4.51031E-02,-2.16236E-03,2.40235E+00,-4.84574E-01,1.27411E-01,-2.97272E-02,3.77303E+00,-2.06658E+00,7.38840E-01,-1.08888E-01
62,150,2.33800E+00,-4.99732E-01,0.00000E+00,0.00000E+00,2.40622E+00,-4.14562E-01,3.65888E-02,5.36258E-03,2.41169E+00,-3.98731E-01,4.37533E-02,-2.12068E-03,2.44941E+00,-4.91207E-01,1.27533E-01,-3.00257E-02,3.85535E+00,-2.11380E+00,7.54606E-01,-1.11206E-01
63,152,2.38917E+00,-4.99827E-01,0.00000E+00,0.00000E+00,2.45303E+00,-4.19228E-01,3.49184E-02,5.15024E-03,2.45852E+00,-4.03262E-01,4.24118E-02,-2.07376E-03,2.49708E+00,-4.97551E-01,1.27493E-01,-3.02850E-02,3.93216E+00,-2.15333E+00,7.67213E-01,-1.13079E-01
64,155,2.44007E+00,-4.99918E-01,0.00000E+00,0.00000E+00,2.49966E+00,-4.23832E-01,3.32626E-02,4.93917E-03,2.50515E+00,-4.07827E-01,4.09694E-02,-2.06524E-03,2.54484E+00,-5.04451E-01,1.27568E-01,-3.05734E-02,4.01589E+00,-2.20178E+00,7.83354E-01,-1.15449E-01
65,159,2.49070E+00,-5.00020E-01,0.00000E+00,0.00000E+00,2.54608E+00,-4.28420E-01,3.15991E-02,4.72443E-03,2.55155E+00,-4.12416E-01,3.94962E-02,-2.04833E-03,2.60683E+00,-5.36178E-01,1.41031E-01,-3.32020E-02,4.19564E+00,-2.35355E+00,8.36365E-01,-1.22224E-01
66,161,2.54262E+00,-5.00116E-01,0.00000E+00,0.00000E+00,2.59379E+00,-4.32969E-01,2.99557E-02,4.51259E-03,2.59924E+00,-4.16971E-01,3.80500E-02,-2.01435E-03,2.65511E+00,-5.42064E-01,1.40565E-01,-3.34003E-02,4.27765E+00,-2.39798E+00,8.50627E-01,-1.24305E-01
67,165,2.59371E+00,-5.00215E-01,0.00000E+00,0.00000E+00,2.64076E+00,-4.37486E-01,2.83004E-02,4.29562E-03,2.64616E+00,-4.21576E-01,3.64953E-02,-2.02531E-03,2.68887E+00,-5.24566E-01,1.27432E-01,-3.14688E-02,4.37168E+00,-2.45773E+00,8.70930E-01,-1.27245E-01
68,166,2.64665E+00,-5.00318E-01,0.00000E+00,0.00000E+00,2.68961E+00,-4.41946E-01,2.66739E-02,4.08335E-03,2.69496E+00,-4.26126E-01,3.49956E-02,-2.00796E-03,2.73826E+00,-5.30353E-01,1.26740E-01,-3.16053E-02,4.44995E+00,-2.49629E+00,8.82676E-01,-1.28960E-01
